Student_ID,Age,Marks,Department
101,18.0,92.0,ECE
102,21.0,56.0,CSE
103,22.0,65.0,ME
104,,46.0,ME
105,18.0,80.0,cse
106,19.0,72.0,CSE
107,21.0,,ECE
108,19.0,88.0,ECE
109,23.0,51.0,ECE
110,20.0,41.0,ECE
111,23.0,70.0,CSE
112,22.0,77.0,ECE
113,,73.0,ME
114,21.0,50.0,ECE
115,21.0,70.0,ME
116,20.0,49.0,CSE
117,18.0,57.0,CSE
118,22.0,68.0,ECE
119,23.0,52.0,ECE
120,19.0,96.0,ECE
121,21.0,77.0,ME
122,22.0,82.0,ME
123,18.0,46.0,CSE
124,21.0,98.0,ECE
125,22.0,81.0,CSE
126,22.0,83.0,ece
127,19.0,69.0,ME
128,23.0,65.0,me
129,20.0,,ME
130,20.0,76.0,ECE
131,19.0,48.0,cse
132,22.0,40.0,ME
133,23.0,95.0,ece
134,21.0,80.0,CSE
135,23.0,,ECE
136,23.0,65.0,ME
137,20.0,49.0,ECE
138,20.0,48.0,ME
139,20.0,71.0,nan
140,22.0,97.0,ME
141,21.0,85.0,ECE
142,19.0,99.0,nan
143,22.0,66.0,ECE
144,22.0,72.0,ECE
145,20.0,45.0,ECE
146,21.0,66.0,nan
147,22.0,60.0,ME
148,23.0,78.0,ECE
149,22.0,72.0,ECE
150,23.0,43.0,CSE
151,23.0,40.0,CSE
152,22.0,90.0,CSE
153,20.0,82.0,CSE
154,23.0,83.0,ME
155,22.0,86.0,ME
156,,,ME
157,23.0,81.0,me
158,23.0,52.0,ECE
159,18.0,57.0,CSE
160,,92.0,ME
161,,57.0,ME
162,20.0,71.0,ME
163,19.0,87.0,ECE
164,22.0,46.0,CSE
165,19.0,49.0,ECE
166,19.0,45.0,ECE
167,23.0,41.0,ME
168,23.0,77.0,ECE
169,20.0,48.0,CSE
170,22.0,61.0,CSE
171,22.0,,me
172,23.0,42.0,ECE
173,22.0,73.0,ME
174,21.0,53.0,ECE
175,18.0,92.0,ece
176,21.0,52.0,ece
177,23.0,93.0,cse
178,23.0,61.0,nan
179,20.0,54.0,CSE
180,23.0,78.0,CSE
181,23.0,50.0,CSE
182,20.0,96.0,ECE
183,23.0,48.0,ECE
184,18.0,99.0,ME
185,20.0,52.0,ECE
186,23.0,95.0,ECE
187,,67.0,ECE
188,20.0,57.0,ME
189,20.0,79.0,nan
190,18.0,51.0,ECE
191,19.0,52.0,CSE
192,20.0,60.0,nan
193,20.0,82.0,ECE
194,18.0,76.0,ECE
195,20.0,56.0,ME
196,23.0,52.0,ME
197,20.0,74.0,ME
