,Symbol,Name,Last Price,Change,% Change,50 Days Average,200 Days Average ,3 Months Average,YTD return,52 Weeks Change%,
0,FIKAX,Fidelity Advisor Energy Z,51.67+0.83(+1.63%),+0.83,+1.63%,50.50,47.80,+8.58%,+11.19%,+10.55%,39.7752.55
1,FANIX,Fidelity Advisor Energy I,51.78+0.83(+1.63%),+0.83,+1.63%,50.51,47.82,+8.55%,+11.06%,+10.64%,39.8152.56
2,FAOIX,Fidelity Advisor Overseas-I,34.27+0.52(+1.54%),+0.52,+1.54%,36.34,37.02,-3.20%,+15.37%,+6.30%,30.8839.43
3,FAOSX,Fidelity Advisor Overseas-Z,34.16+0.51(+1.52%),+0.51,+1.52%,36.25,36.94,-3.16%,+15.50%,+6.22%,30.8139.37
4,BIVSX,Invenomic Super Institutional,17.76+0.25(+1.43%),+0.25,+1.43%,17.25,17.48,-0.35%,-12.01%,+2.42%,16.2418.87
5,INIIX,VanEck International Investors Gold I,39.79+0.50(+1.27%),+0.50,+1.27%,34.84,27.10,+28.60%,+181.71%,+171.98%,14.6339.79
6,INIYX,VanEck International Investors Gold Y,28.66+0.36(+1.27%),+0.36,+1.27%,25.45,19.82,+28.61%,+181.66%,+167.35%,10.7228.66
7,INIVX,VanEck International Investors Gold A,27.53+0.34(+1.25%),+0.34,+1.25%,24.47,19.07,+28.50%,+180.86%,+166.51%,10.3327.53
8,MSEIX,AMG Veritas Asia Pacific I,93.38+1.08(+1.17%),+1.08,+1.17%,92.50,80.92,+3.34%,+40.00%,+40.48%,58.9497.91
9,FGADX,Franklin Gold and Precious Metals Adv,53.59+0.58(+1.09%),+0.58,+1.09%,48.08,36.89,+33.63%,+206.56%,+184.15%,18.8655.28
10,FGPMX,Franklin Gold and Precious Metals R6,54.58+0.59(+1.09%),+0.59,+1.09%,48.91,37.52,+33.66%,+206.66%,+184.72%,19.1756.23
11,FRGOX,Franklin Gold and Precious Metals C,40.81+0.44(+1.09%),+0.44,+1.09%,37.37,28.79,+33.28%,+203.43%,+175.37%,14.8243.02
12,FKRCX,Franklin Gold and Precious Metals A,48.31+0.52(+1.09%),+0.52,+1.09%,43.68,33.56,+33.55%,+205.78%,+181.04%,17.1950.25
13,SEMTX,Hartford Schroders Emerging Mkts Eq SDR,23.34+0.24(+1.04%),+0.24,+1.04%,22.74,20.00,+7.36%,+40.26%,+39.84%,15.2323.34
14,MICFX,Matthews China Instl,17.53+0.18(+1.04%),+0.18,+1.04%,17.71,16.15,-2.39%,+31.22%,+30.14%,12.4518.71
15,SEMNX,Hartford Schroders Emerging Mkts Eq I,23.27+0.23(+1.00%),+0.23,+1.00%,22.68,19.95,+7.28%,+40.10%,+39.68%,15.2023.27
16,SEMVX,Hartford Schroders Emerging Mkts Eq A,23.27+0.23(+1.00%),+0.23,+1.00%,22.69,19.98,+7.19%,+39.59%,+39.17%,15.2423.27
17,MCHFX,Matthews China Fund,17.55+0.17(+0.98%),+0.17,+0.98%,17.72,16.16,-1.00%,+32.37%,+30.10%,12.4618.71
18,FIDLX,Fidelity Advisor Large Cap Z,58.01+0.53(+0.92%),+0.53,+0.92%,60.23,57.03,+3.58%,+19.84%,+12.93%,44.3064.04
19,FLCCX,Fidelity Advisor Large Cap C,45.07+0.41(+0.92%),+0.41,+0.92%,47.00,44.79,+3.28%,+18.64%,+10.85%,34.9650.22
20,FALIX,Fidelity Advisor Large Cap I,58.05+0.52(+0.90%),+0.52,+0.90%,60.27,57.09,+3.55%,+19.71%,+12.81%,44.3664.09
21,FALGX,Fidelity Advisor Large Cap M,53.61+0.48(+0.90%),+0.48,+0.90%,55.65,52.76,+3.43%,+19.15%,+12.41%,41.0559.15
22,FZAEX,Fidelity Advisor Focused Em Mkts Z,42.45+0.38(+0.90%),+0.38,+0.90%,41.75,37.31,+5.19%,+39.17%,+37.96%,28.4242.51
23,FALAX,Fidelity Advisor Large Cap A,53.66+0.48(+0.90%),+0.48,+0.90%,55.76,52.89,+3.50%,+19.42%,+12.38%,41.1459.35
24,FIMKX,Fidelity Advisor Focused Em Mkts I,42.55+0.38(+0.90%),+0.38,+0.90%,41.83,37.38,+5.15%,+38.98%,+37.93%,28.4942.58
