,Symbol,Name,Last Price,Change,% Change,50 Days Average,200 Days Average ,3 Months Average,YTD return,52 Weeks Change%,
0,MACGX,Morgan Stanley Institutional Fund Trust Discovery Portfolio,17.20+0.49(+2.93%),+0.49,+2.93%,17.48,16.75,-11.96%,+14.53%,+12.97%,12.1619.38
1,MPEGX,Morgan Stanley Inst Discovery I,25.49+0.72(+2.91%),+0.72,+2.91%,25.91,24.80,-11.91%,+14.84%,+13.32%,17.9928.70
2,MMCGX,Morgan Stanley Inst Discovery R6,26.16+0.73(+2.87%),+0.73,+2.87%,26.59,25.44,-11.85%,+15.02%,+13.47%,18.4529.46
3,FIKAX,Fidelity Advisor Energy Z,51.67+0.83(+1.63%),+0.83,+1.63%,50.50,47.80,+8.58%,+11.19%,+11.47%,39.7752.55
4,FANIX,Fidelity Advisor Energy I,51.78+0.83(+1.63%),+0.83,+1.63%,50.51,47.82,+8.55%,+11.06%,+11.63%,39.8152.56
5,FAOIX,Fidelity Advisor Overseas-I,34.27+0.52(+1.54%),+0.52,+1.54%,36.95,37.04,-3.20%,+15.37%,+5.64%,30.8839.43
6,FAOSX,Fidelity Advisor Overseas-Z,34.16+0.51(+1.52%),+0.51,+1.52%,36.87,36.97,-3.16%,+15.50%,+5.56%,30.8139.37
7,FIDLX,Fidelity Advisor Large Cap Z,58.01+0.53(+0.92%),+0.53,+0.92%,60.81,56.76,+3.58%,+19.84%,+7.69%,44.3064.04
8,FLCCX,Fidelity Advisor Large Cap C,45.07+0.41(+0.92%),+0.41,+0.92%,47.52,44.60,+3.28%,+18.64%,+5.08%,34.9650.22
9,FALIX,Fidelity Advisor Large Cap I,58.05+0.52(+0.90%),+0.52,+0.90%,60.85,56.82,+3.55%,+19.71%,+7.70%,44.3664.09
10,FALGX,Fidelity Advisor Large Cap M,53.61+0.48(+0.90%),+0.48,+0.90%,56.18,52.51,+3.43%,+19.15%,+7.33%,41.0559.15
11,FALAX,Fidelity Advisor Large Cap A,53.66+0.48(+0.90%),+0.48,+0.90%,56.32,52.64,+3.50%,+19.42%,+7.04%,41.1459.35
12,KINAX,Kinetics Internet Adv A,83.25+0.58(+0.70%),+0.58,+0.70%,93.35,96.49,-17.54%,-10.51%,-14.61%,81.72108.13
13,WWWFX,Kinetics Internet No Load,92.60+0.64(+0.70%),+0.64,+0.70%,103.81,107.22,-17.48%,-10.29%,-14.31%,90.74120.22
14,GATRX,Gator Capital L/S Fd,59.62+0.41(+0.69%),+0.41,+0.69%,59.55,55.57,+2.48%,+23.06%,+19.41%,43.3161.64
15,KINCX,Kinetics Internet Adv C,67.38+0.46(+0.69%),+0.46,+0.69%,75.59,78.25,-17.64%,-10.93%,-15.23%,66.3787.61
16,ALAFX,Alger Focus Equity A,109.28+0.72(+0.66%),+0.72,+0.66%,110.40,93.53,-0.15%,+37.37%,+38.63%,62.83115.61
17,ALZFX,Alger Focus Equity Z,114.35+0.75(+0.66%),+0.75,+0.66%,115.49,97.77,-0.07%,+37.76%,+39.04%,65.61120.92
18,ALGRX,Alger Focus Equity I,110.24+0.72(+0.66%),+0.72,+0.66%,111.37,94.34,-0.13%,+37.40%,+38.67%,63.37116.61
19,ALGYX,Alger Focus Equity Y,114.84+0.75(+0.66%),+0.75,+0.66%,115.98,98.17,-0.04%,+37.82%,+39.10%,65.87121.43
20,ALCFX,Alger Focus Equity C,97.20+0.63(+0.65%),+0.63,+0.65%,98.28,83.43,-0.34%,+36.36%,+37.56%,56.19102.94
21,RYGBX,Rydex Government Long Bd 1.2x Strat Inv,101.99+0.66(+0.65%),+0.66,+0.65%,104.58,103.00,-2.79%,+1.76%,-51.80%,97.23211.90
22,SPYGX,Spyglass Growth Institutional,23.41+0.15(+0.64%),+0.15,+0.64%,23.11,20.73,-0.13%,+15.84%,+15.95%,14.9724.19
23,FIKHX,Fidelity Advisor Technology Z,154.72+0.81(+0.53%),+0.81,+0.53%,163.15,143.91,+8.57%,+24.24%,+6.45%,100.90177.32
24,FATIX,Fidelity Advisor Technology Fund,154.77+0.81(+0.53%),+0.81,+0.53%,162.88,144.02,+8.54%,+24.12%,+6.58%,100.91177.22
