Name,id,symbol
Bitcoin,bitcoin,btc
Ethereum,ethereum,eth
Tether,tether,usdt
XRP,ripple,xrp
BNB,binancecoin,bnb
USDC,usd-coin,usdc
Solana,solana,sol
TRON,tron,trx
Figure Heloc,figure-heloc,figr_heloc
Dogecoin,dogecoin,doge
WhiteBIT Coin,whitebit,wbt
USDS,usds,usds
Bitcoin Cash,bitcoin-cash,bch
Cardano,cardano,ada
LEO Token,leo-token,leo
Hyperliquid,hyperliquid,hype
Ethena USDe,ethena-usde,usde
Canton,canton-network,cc
Monero,monero,xmr
Chainlink,chainlink,link
Stellar,stellar,xlm
USD1,usd1-wlfi,usd1
Rain,rain,rain
Dai,dai,dai
PayPal USD,paypal-usd,pyusd
Hedera,hedera-hashgraph,hbar
Litecoin,litecoin,ltc
Zcash,zcash,zec
Avalanche,avalanche-2,avax
Shiba Inu,shiba-inu,shib
Sui,sui,sui
Toncoin,the-open-network,ton
Cronos,crypto-com-chain,cro
World Liberty Financial,world-liberty-financial,wlfi
Tether Gold,tether-gold,xaut
MemeCore,memecore,m
PAX Gold,pax-gold,paxg
Uniswap,uniswap,uni
Polkadot,polkadot,dot
BlackRock USD Institutional Digital Liquidity Fund,blackrock-usd-institutional-digital-liquidity-fund,buidl
Mantle,mantle,mnt
Falcon USD,falcon-finance,usdf
Aave,aave,aave
Aster,aster-2,aster
Global Dollar,global-dollar,usdg
Pepe,pepe,pepe
Bittensor,bittensor,tao
Circle USYC,hashnote-usyc,usyc
Ripple USD,ripple-usd,rlusd
Bitget Token,bitget-token,bgb
OKB,okb,okb
HTX DAO,htx-dao,htx
Pi Network,pi-network,pi
Sky,sky,sky
BFUSD,bfusd,bfusd
Ethereum Classic,ethereum-classic,etc
NEAR Protocol,near,near
Ondo,ondo-finance,ondo
Superstate Short Duration U.S. Government Securities Fund (USTB),superstate-short-duration-us-government-securities-fund-ustb,ustb
Gate,gatechain-token,gt
Internet Computer,internet-computer,icp
POL (ex-MATIC),polygon-ecosystem-token,pol
KuCoin,kucoin-shares,kcs
Worldcoin,worldcoin-wld,wld
Pump.fun,pump-fun,pump
Cosmos Hub,cosmos,atom
Midnight,midnight-3,night
Provenance Blockchain,hash-2,hash
Quant,quant-network,qnt
USDtb,usdtb,usdtb
NEXO,nexo,nexo
Spiko EU T-Bills Money Market Fund,eutbl,eutbl
Kaspa,kaspa,kas
Ethena,ethena,ena
Flare,flare-networks,flr
Official Trump,official-trump,trump
Algorand,algorand,algo
pippin,pippin,pippin
USDD,usdd,usdd
OUSG,ousg,ousg
Janus Henderson Anemoy AAA CLO Fund,janus-henderson-anemoy-aaa-clo-fund,jaaa
Ondo US Dollar Yield,ondo-us-dollar-yield,usdy
Render,render-token,render
XDC Network,xdce-crowd-sale,xdc
Filecoin,filecoin,fil
Aptos,aptos,apt
VeChain,vechain,vet
Beldex,beldex,bdx
Janus Henderson Anemoy Treasury Fund,janus-henderson-anemoy-treasury-fund,jtrsy
Usual USD,usual-usd,usd0
Morpho,morpho,morpho
Arbitrum,arbitrum,arb
GHO,gho,gho
​​Stable,stable-2,stable
A7A5,a7a5,a7a5
Bonk,bonk,bonk
TrueUSD,true-usd,tusd
Fasttoken,fasttoken,ftn
USDai,usdai,usdai
Decred,decred,dcr
