,Symbol,Name, ,Price,Change,% Change,Market Cap,Volume ,Volume in currency( 24 hr),Volume in all currencies(in 24 hr),Circulating Supply,52 Weeks Change%, 
0,SSEAGULL-USD,SEAGULL SAM USD,,"0.30+0.30(+634,591.60%)",+0.30,"+634,591.60%",0,"43,141","43,141","43,141",0,-99.55%,0.000.03
1,DDOGEX38772-USD,DOGEX USD,,"0.00+0.00(+3,781.24%)",+0.00,"+3,781.24%",0,"139,443","139,443","139,443",0,-75.00%,0.000.00
2,CCATX31291-USD,CATX USD,,"0.00+0.00(+2,802.50%)",+0.00,"+2,802.50%",0,"166,286","166,286","166,286",0,+300.00%,0.000.00
3,VVMC37642-USD,VMS Classic USD,,"24.44+22.22(+1,000.90%)",+22.22,"+1,000.90%",0,"72,036","72,036","72,036",0,-95.85%,"1.892,462.19"
4,GGROK36159-USD,TRUMP GROK (trumpgrok.org) USD,,0.00+0.00(+668.76%),+0.00,+668.76%,0,"874,010","874,010","874,010",0,+400.00%,0.000.00
5,HHOOD37295-USD,Robinhood USD,,0.03+0.02(+613.19%),+0.02,+613.19%,0,"19,346","19,346","19,346",0,"+4,669.73%",0.0014.20
6,BBEER32150-USD,Beers USD,,0.00+0.00(+552.13%),+0.00,+552.13%,0,"376,933","376,933","376,933",0,-99.95%,0.001.15
7,TTRUMP32865-USD,TRUMP AI USD,,0.00+0.00(+459.45%),+0.00,+459.45%,0,"347,905","347,905","347,905",0,-74.64%,0.000.37
8,BBPX10720-USD,Black Phoenix USD,,2.40+1.97(+459.35%),+1.97,+459.35%,0,14.293M,14.293M,14.293M,0,+4.83%,0.003.38
9,TTRUMP31874-USD,PEPE USD,,0.00+0.00(+445.52%),+0.00,+445.52%,0,"248,815","248,815","248,815",0,-99.07%,0.000.00
10,GGME32488-USD,GameStop Coin USD,,0.00+0.00(+444.16%),+0.00,+444.16%,0,"348,253","348,253","348,253",0,-50.00%,0.000.44
11,MMOODENG33647-USD,Moo Deng (moodeng.sbs) USD,,0.00+0.00(+434.85%),+0.00,+434.85%,0,"72,144","72,144","72,144",0,-99.50%,0.000.00
12,PPEOPLE32079-USD,MAGA USD,,0.00+0.00(+416.35%),+0.00,+416.35%,0,"136,563","136,563","136,563",0,-98.95%,0.000.12
13,RRATS34039-USD,rats (Ethereum) USD,,"52,728,967,168.00+41,373,396,992.00(+364.34%)","+41,373,396,992.00",+364.34%,0,"167,488","167,488","167,488",0,"+764,561,168,793,600.00%","0.0013,960,887,300.00"
14,GGROK33471-USD,SORA GROK USD,,2.52+1.97(+361.42%),+1.97,+361.42%,0,"205,765","205,765","205,765",0,"+2,052,230.47%",0.0027.34
15,GGROOVE-USD,GROOVE USD,,0.00+0.00(+354.16%),+0.00,+354.16%,0,"121,925","121,925","121,925",0,-58.06%,0.000.00
16,CCOIN36756-USD,[Fake]COINBASE USD,,137.12+105.80(+337.83%),+105.80,+337.83%,0,"511,183","511,183","511,183",0,+312.59%,2.16423.75
17,BBSTER-USD,Bster USD,,0.01+0.01(+315.42%),+0.01,+315.42%,0,"199,086","199,086","199,086",0,+152.47%,0.000.03
18,BBASE38263-USD,Base AI USD,,0.00+0.00(+302.79%),+0.00,+302.79%,0,"395,008","395,008","395,008",0,-93.58%,0.000.00
19,TTRUMP36286-USD,PEPE TRUMP (pepetrump.cc) USD,,0.00+0.00(+294.04%),+0.00,+294.04%,0,"372,196","372,196","372,196",0,--,0.000.00
20,GGOAT38260-USD,Goatcoin USD,,0.00+0.00(+293.07%),+0.00,+293.07%,0,"181,931","181,931","181,931",0,-48.37%,0.000.00
21,HHBTC38220-USD,Hold BTC USD,,0.00+0.00(+285.93%),+0.00,+285.93%,0,"719,260","719,260","719,260",0,--,0.000.00
22,FFUR36326-USD,Furfication USD,,0.00+0.00(+282.08%),+0.00,+282.08%,0,"340,073","340,073","340,073",0,+838.10%,0.000.00
23,IIBIT37350-USD,BlackRock USD,,0.02+0.01(+270.35%),+0.01,+270.35%,0,"185,142","185,142","185,142",0,-35.23%,0.000.17
24,PPEPE36287-USD,PEPE AI (pepeai.one) USD,,0.00+0.00(+269.70%),+0.00,+269.70%,0,"286,081","286,081","286,081",0,+560.00%,0.000.00
