Student_ID,Age,Marks,Department
101,18.0,72.0,AUTOMATION
102,21.0,83.0,AUTOMATION
103,22.0,67.0,ME
104,20.0,96.0,AUTOMATION
105,18.0,58.0,ECE
106,19.0,99.0,nan
107,21.0,,ME
108,19.0,79.0,ECE
109,23.0,46.0,ECE
110,20.0,48.0,ME
111,23.0,77.0,AIML
112,22.0,70.0,automation
113,18.0,75.0,ECE
114,21.0,45.0,AIML
115,21.0,62.0,ME
116,20.0,85.0,AIML
117,24.0,71.0,CSE
118,18.0,72.0,ECE
119,240.0,60.0,ME
120,24.0,97.0,AUTOMATION
121,23.0,46.0,nan
122,19.0,55.0,ECE
123,21.0,90.0,AIML
124,22.0,73.0,ME
125,18.0,92.0,ME
126,21.0,90.0,ECE
127,22.0,85.0,AIML
128,22.0,86.0,aiml
129,24.0,87.0,CSE
130,19.0,87.0,CSE
131,23.0,83.0,AUTOMATION
132,20.0,44.0,ME
133,20.0,59.0,nan
134,19.0,48.0,AUTOMATION
135,22.0,89.0,CSE
136,23.0,57.0,CSE
137,21.0,89.0,ME
138,23.0,59.0,me
139,23.0,57.0,ECE
140,20.0,71.0,AIML
141,20.0,69.0,nan
142,20.0,41.0,nan
143,22.0,83.0,AUTOMATION
144,21.0,43.0,ME
145,19.0,86.0,AIML
146,22.0,48.0,CSE
147,22.0,64.0,AIML
148,20.0,41.0,ECE
149,21.0,61.0,AUTOMATION
150,22.0,82.0,me
151,23.0,89.0,ME
152,22.0,66.0,CSE
153,23.0,82.0,AIML
154,23.0,43.0,ECE
155,22.0,95.0,CSE
156,24.0,88.0,AUTOMATION
157,20.0,89.0,AUTOMATION
158,24.0,81.0,ECE
159,23.0,73.0,cse
160,22.0,47.0,ECE
161,21.0,93.0,nan
162,24.0,67.0,ME
163,23.0,99.0,AIML
164,,90.0,CSE
165,18.0,75.0,AIML
166,22.0,74.0,ME
167,20.0,61.0,CSE
168,24.0,86.0,AUTOMATION
169,20.0,47.0,AUTOMATION
170,19.0,,AUTOMATION
171,22.0,56.0,AUTOMATION
172,24.0,93.0,ECE
173,19.0,42.0,ME
174,19.0,80.0,ECE
175,24.0,86.0,AIML
176,23.0,50.0,ECE
177,23.0,89.0,ece
178,20.0,60.0,aiml
179,22.0,63.0,automation
180,22.0,71.0,AUTOMATION
181,23.0,72.0,ME
182,22.0,59.0,CSE
183,21.0,61.0,ECE
184,18.0,58.0,AUTOMATION
185,21.0,94.0,ECE
186,23.0,84.0,CSE
187,23.0,91.0,AIML
188,240.0,53.0,CSE
189,23.0,53.0,AUTOMATION
190,23.0,70.0,ME
191,20.0,75.0,AUTOMATION
192,24.0,,AUTOMATION
193,24.0,79.0,AUTOMATION
194,23.0,71.0,nan
195,18.0,83.0,ME
196,20.0,82.0,ME
197,23.0,75.0,CSE
198,23.0,63.0,AUTOMATION
199,20.0,59.0,CSE
200,20.0,44.0,CSE
201,18.0,91.0,aiml
202,19.0,97.0,AUTOMATION
203,,98.0,me
204,,81.0,AIML
205,18.0,90.0,ME
206,20.0,44.0,ME
207,23.0,62.0,AIML
208,20.0,57.0,AIML
209,18.0,,ECE
210,18.0,94.0,ECE
211,20.0,76.0,AIML
212,,81.0,ME
213,22.0,52.0,automation
214,23.0,67.0,AUTOMATION
215,18.0,46.0,ME
216,22.0,45.0,ME
217,19.0,66.0,AIML
218,23.0,97.0,AIML
219,19.0,,ECE
220,,65.0,ME
221,20.0,61.0,ME
222,20.0,41.0,AIML
223,,45.0,ME
224,19.0,76.0,AUTOMATION
225,20.0,68.0,ECE
226,19.0,76.0,CSE
227,18.0,89.0,ME
228,,48.0,ECE
229,19.0,56.0,automation
230,24.0,57.0,CSE
231,21.0,86.0,nan
232,21.0,43.0,CSE
233,20.0,58.0,AUTOMATION
234,20.0,52.0,AIML
235,19.0,62.0,AUTOMATION
236,21.0,46.0,automation
237,18.0,82.0,ME
238,19.0,43.0,ECE
239,19.0,61.0,AUTOMATION
240,23.0,46.0,ME
241,,85.0,CSE
242,24.0,,AUTOMATION
243,18.0,48.0,ECE
244,20.0,55.0,ME
245,20.0,53.0,AIML
246,240.0,88.0,AIML
247,22.0,81.0,CSE
248,18.0,56.0,AUTOMATION
249,22.0,99.0,ME
250,19.0,59.0,AUTOMATION
251,23.0,67.0,AIML
252,22.0,87.0,AUTOMATION
253,24.0,52.0,CSE
254,,70.0,ECE
255,21.0,73.0,ME
256,21.0,54.0,AIML
257,18.0,99.0,CSE
258,23.0,71.0,ece
259,24.0,,CSE
260,20.0,74.0,ME
261,21.0,91.0,ME
262,18.0,92.0,ME
263,21.0,56.0,CSE
264,20.0,65.0,ME
265,21.0,,CSE
266,19.0,80.0,AUTOMATION
267,20.0,72.0,cse
268,24.0,82.0,ECE
269,24.0,88.0,aiml
270,18.0,51.0,cse
271,20.0,41.0,CSE
272,20.0,70.0,AUTOMATION
273,19.0,77.0,ECE
274,240.0,73.0,ME
275,19.0,50.0,CSE
276,22.0,70.0,AUTOMATION
277,22.0,49.0,AIML
278,22.0,57.0,CSE
279,20.0,68.0,AIML
280,18.0,52.0,CSE
281,18.0,96.0,AIML
282,18.0,77.0,ME
283,18.0,82.0,AIML
284,23.0,46.0,AIML
285,20.0,98.0,ECE
286,22.0,,AIML
287,21.0,83.0,AUTOMATION
288,22.0,69.0,CSE
289,23.0,65.0,AIML
290,24.0,66.0,AIML
291,21.0,76.0,ECE
292,18.0,48.0,AIML
293,23.0,40.0,ece
294,19.0,95.0,CSE
295,19.0,80.0,CSE
296,18.0,73.0,AUTOMATION
297,20.0,65.0,ECE
298,18.0,49.0,CSE
299,20.0,48.0,CSE
300,23.0,71.0,AUTOMATION
301,20.0,97.0,ECE
302,19.0,85.0,AUTOMATION
303,23.0,99.0,ECE
304,23.0,66.0,aiml
305,19.0,72.0,AUTOMATION
306,24.0,45.0,ME
307,20.0,66.0,ECE
308,21.0,60.0,ME
309,22.0,78.0,nan
310,24.0,72.0,ECE
311,21.0,43.0,CSE
312,22.0,40.0,ece
313,23.0,90.0,nan
314,20.0,82.0,CSE
315,19.0,83.0,AUTOMATION
316,19.0,,ECE
317,22.0,46.0,AIML
318,21.0,,ECE
319,20.0,52.0,CSE
320,21.0,57.0,AIML
321,18.0,92.0,CSE
322,19.0,57.0,AIML
323,,71.0,AUTOMATION
324,21.0,87.0,AUTOMATION
325,18.0,,AUTOMATION
326,22.0,49.0,ME
327,18.0,45.0,ECE
328,21.0,41.0,AUTOMATION
329,21.0,,AUTOMATION
330,21.0,48.0,AIML
331,22.0,61.0,AIML
332,18.0,96.0,ECE
333,22.0,42.0,CSE
334,20.0,,ECE
335,23.0,53.0,nan
336,20.0,92.0,AIML
337,24.0,52.0,CSE
338,19.0,,CSE
339,23.0,61.0,ME
340,22.0,54.0,ME
341,19.0,78.0,ME
342,23.0,50.0,nan
343,20.0,96.0,ME
344,24.0,48.0,AIML
345,22.0,99.0,CSE
346,20.0,52.0,ECE
347,18.0,95.0,AIML
348,23.0,67.0,ME
349,22.0,57.0,me
350,19.0,79.0,AIML
351,21.0,51.0,AIML
352,20.0,52.0,CSE
353,23.0,60.0,AUTOMATION
354,23.0,82.0,ECE
355,18.0,76.0,nan
356,24.0,56.0,CSE
357,19.0,52.0,aiml
358,21.0,74.0,ME
359,22.0,79.0,AUTOMATION
360,18.0,50.0,ME
361,19.0,95.0,ECE
362,20.0,89.0,ECE
363,24.0,50.0,ME
364,24.0,86.0,AIML
365,23.0,94.0,AUTOMATION
366,19.0,58.0,ece
367,21.0,61.0,CSE
368,18.0,94.0,cse
369,23.0,70.0,CSE
370,21.0,71.0,AUTOMATION
371,19.0,74.0,AUTOMATION
372,24.0,82.0,AIML
373,19.0,240.0,ECE
374,20.0,52.0,ME
375,24.0,90.0,ME
376,18.0,66.0,CSE
377,18.0,47.0,ME
378,22.0,92.0,AUTOMATION
379,19.0,58.0,ECE
380,19.0,46.0,CSE
381,22.0,45.0,ECE
382,24.0,52.0,CSE
383,18.0,94.0,AUTOMATION
384,22.0,42.0,AUTOMATION
385,20.0,59.0,CSE
386,19.0,,AUTOMATION
387,24.0,57.0,AUTOMATION
388,24.0,94.0,ECE
389,22.0,54.0,ece
390,18.0,61.0,ECE
391,18.0,78.0,ME
392,,50.0,AIML
393,23.0,49.0,AIML
394,23.0,77.0,ME
395,20.0,49.0,AUTOMATION
396,21.0,77.0,AUTOMATION
397,18.0,88.0,CSE
398,20.0,70.0,cse
399,20.0,66.0,me
400,24.0,91.0,ECE
401,21.0,63.0,AIML
402,23.0,61.0,ECE
403,20.0,77.0,ME
404,21.0,67.0,nan
405,21.0,93.0,CSE
406,18.0,41.0,AUTOMATION
407,20.0,51.0,cse
408,,49.0,ECE
409,21.0,72.0,aiml
410,24.0,84.0,ME
411,18.0,88.0,AUTOMATION
412,19.0,51.0,AUTOMATION
413,21.0,91.0,ECE
414,18.0,88.0,ECE
415,18.0,92.0,nan
416,20.0,92.0,me
417,18.0,,AUTOMATION
418,19.0,54.0,ME
419,20.0,84.0,ME
420,19.0,89.0,ME
421,20.0,90.0,AUTOMATION
422,240.0,95.0,ECE
423,23.0,41.0,CSE
424,19.0,56.0,ECE
425,23.0,45.0,AIML
426,19.0,92.0,CSE
427,22.0,45.0,ME
428,22.0,65.0,AUTOMATION
