Machine_ID,Operating_Hours,Load_Percentage,Temperature,Vibration,Pressure,Power_Consumption,Last_Maintenance_Days,Breakdown_Count,Ambient_Temperature,Humidity,Failure_Flag
M_0001,12,94,70.3705093457464,2.7590887549063803,32.30127931755063,396.18051818665833,37,2,36,79,0
M_0002,20,74,64.18580371254596,1.4543498603000415,36.54572193458798,392.62402176909717,134,3,33,43,1
M_0003,16,88,76.76511276162745,3.562316620623258,26.398854562405244,384.4815608209353,65,0,29,35,0
M_0004,13,58,77.65403828348538,3.4172634478581863,30.095473599787827,369.9425931702009,134,2,43,41,0
M_0005,12,71,58.81789205286839,4.137706202714778,27.398089398988024,413.2599317974151,178,1,33,49,0
M_0006,16,92,78.75071914682778,3.349594999360297,28.642721322739632,367.68423521153284,22,1,37,52,0
M_0007,16,95,85.6985049870104,2.4508530229542824,24.968653228372574,408.8689585457234,105,3,41,59,1
M_0008,9,53,65.87051926975991,4.269678839602134,28.28011964283102,295.00633838904764,88,2,28,59,0
M_0009,13,75,79.35555848374813,4.366990432678843,29.861422168773004,370.0062915699592,153,0,36,67,0
M_0010,8,78,83.92263660370133,3.2332059639852075,28.142642500692247,454.91646003470237,125,0,25,87,0
M_0011,7,94,80.8667820853008,3.060321914532972,29.19469248493099,354.9785387267755,79,0,27,59,0
M_0012,17,83,81.81006238741557,1.676728976894895,32.025202717185934,429.60509805215713,90,1,32,70,0
M_0013,11,72,72.55199758193699,2.392473657653524,36.193478845322,359.1358124983461,51,1,37,59,0
M_0014,7,86,63.724956622594036,3.760769641959354,36.55577934056299,438.789282839661,176,3,24,86,0
M_0015,6,60,70.52853537616087,2.4427196996372995,33.80710883698496,385.14455264007296,102,1,25,87,0
M_0016,17,55,69.13942898129375,1.5431621306066774,23.700092607808422,383.1676697817357,106,1,40,65,0
M_0017,17,67,74.19740953792454,6.495877789600099,28.197950072150732,402.7175739273508,60,2,38,78,0
M_0018,22,70,85.9327090545993,1.5365940415733115,28.628574846436994,332.82865164391524,46,2,23,63,0
M_0019,15,91,61.88159871835831,5.256751396434117,26.714250846057176,448.60454093782306,36,1,26,45,0
M_0020,21,85,76.44250022817391,2.69257655540174,31.711755895148034,465.1716720757869,166,3,23,53,1
