Student_ID,Age,Marks,Department
101,-5.0,81.0,Computer Science
102,21.0,56.0,Computer Science
103,20.0,99.0,Mathematics
104,,59.0,Mathematics
105,19.0,67.0,Biology
106,21.0,87.0,nan
107,27.0,,Biology
108,25.0,70.0,Biology
109,23.0,73.0,Physics
110,28.0,54.0,Computer Science
111,,99.0,Mathematics
112,21.0,71.0,Physics
113,21.0,43.0,Mathematics
114,20.0,,Mathematics
115,24.0,91.0,Physics
116,18.0,92.0,Physics
117,22.0,56.0,Chemistry
118,24.0,65.0,Chemistry
119,27.0,46.0,Physics
120,21.0,80.0,Mathematics
121,26.0,72.0,nan
122,29.0,,Computer Science
123,22.0,88.0,Mathematics
124,25.0,51.0,nan
125,24.0,,Physics
126,19.0,,Physics
127,23.0,77.0,Chemistry
128,28.0,73.0,Mathematics
129,20.0,50.0,Mathematics
130,19.0,70.0,Physics
131,23.0,49.0,Mathematics
132,21.0,57.0,Computer Science
133,28.0,68.0,nan
134,20.0,52.0,Biology
135,28.0,,Mathematics
136,22.0,77.0,Chemistry
137,29.0,82.0,Computer Science
138,19.0,46.0,Biology
139,20.0,98.0,Chemistry
140,21.0,81.0,Biology
141,22.0,83.0,nan
142,23.0,69.0,nan
143,22.0,65.0,Computer Science
144,23.0,66.0,Computer Science
145,25.0,76.0,Mathematics
146,24.0,48.0,Chemistry
147,20.0,40.0,nan
148,22.0,95.0,Mathematics
149,29.0,80.0,Biology
150,23.0,73.0,nan
151,26.0,65.0,Chemistry
152,22.0,49.0,Mathematics
153,28.0,48.0,Physics
154,24.0,,Physics
155,28.0,97.0,biology
156,19.0,85.0,Computer Science
157,22.0,99.0,Mathematics
158,27.0,66.0,Computer Science
159,,,Physics
160,23.0,45.0,Computer Science
161,20.0,,nan
162,22.0,,Chemistry
163,22.0,78.0,Mathematics
164,,72.0,Physics
165,21.0,43.0,Biology
166,18.0,40.0,Chemistry
167,29.0,90.0,Biology
168,25.0,82.0,Mathematics
169,28.0,83.0,Mathematics
170,23.0,,Mathematics
171,,46.0,nan
172,23.0,,Mathematics
173,26.0,52.0,Biology
174,28.0,57.0,Computer Science
175,23.0,92.0,Biology
176,28.0,57.0,Chemistry
177,20.0,71.0,Physics
178,18.0,87.0,Biology
179,19.0,46.0,Biology
180,25.0,49.0,Computer Science
181,20.0,-10.0,Chemistry
182,20.0,,nan
183,26.0,77.0,Biology
184,20.0,48.0,Computer Science
185,23.0,61.0,Physics
186,20.0,96.0,biology
187,26.0,42.0,Physics
188,26.0,73.0,Biology
189,,53.0,Physics
190,19.0,92.0,Mathematics
191,18.0,52.0,physics
192,22.0,,Physics
193,19.0,61.0,Chemistry
194,23.0,54.0,nan
195,19.0,78.0,Computer Science
196,19.0,50.0,nan
197,28.0,96.0,Physics
198,20.0,48.0,Physics
199,25.0,,Chemistry
200,27.0,,Physics
201,-5.0,95.0,Chemistry
202,28.0,67.0,Biology
203,27.0,57.0,Biology
204,18.0,79.0,Computer Science
205,19.0,51.0,Chemistry
206,27.0,,biology
207,24.0,60.0,biology
208,25.0,82.0,Computer Science
209,21.0,76.0,Chemistry
210,21.0,56.0,Computer Science
211,28.0,52.0,Chemistry
212,20.0,74.0,Physics
213,19.0,79.0,Computer Science
214,29.0,50.0,Mathematics
215,18.0,95.0,Chemistry
216,19.0,89.0,Mathematics
217,-5.0,50.0,Biology
218,,86.0,Chemistry
219,26.0,,Biology
220,25.0,58.0,Chemistry
221,20.0,61.0,nan
222,28.0,94.0,biology
223,,70.0,Computer Science
224,240.0,71.0,Chemistry
225,18.0,74.0,Physics
226,19.0,82.0,Chemistry
227,23.0,75.0,nan
228,22.0,52.0,Physics
229,24.0,90.0,Biology
230,29.0,66.0,Physics
231,29.0,,Computer Science
232,18.0,92.0,Computer Science
233,28.0,58.0,nan
234,21.0,,Mathematics
235,26.0,45.0,Chemistry
236,21.0,52.0,Computer Science
237,20.0,94.0,Computer Science
238,,42.0,Physics
239,19.0,59.0,Physics
240,28.0,58.0,Chemistry
241,18.0,57.0,Biology
242,28.0,,Chemistry
243,20.0,54.0,Biology
244,25.0,61.0,Physics
245,19.0,78.0,Biology
246,19.0,50.0,Biology
247,19.0,49.0,Mathematics
248,22.0,77.0,Mathematics
249,22.0,49.0,nan
250,28.0,77.0,Physics
251,,88.0,Mathematics
252,18.0,70.0,Physics
253,26.0,66.0,Biology
254,,91.0,Chemistry
255,,63.0,Physics
256,20.0,61.0,Mathematics
257,22.0,77.0,Mathematics
258,29.0,67.0,Physics
259,22.0,,Physics
260,23.0,41.0,Biology
261,24.0,51.0,Computer Science
262,29.0,,Chemistry
263,18.0,72.0,Biology
264,,84.0,Biology
265,19.0,88.0,Physics
266,,51.0,Mathematics
267,18.0,91.0,computer science
268,25.0,88.0,Mathematics
269,,,Chemistry
270,26.0,92.0,Chemistry
271,20.0,58.0,Mathematics
272,23.0,54.0,Physics
273,25.0,84.0,Computer Science
274,28.0,89.0,nan
275,25.0,90.0,nan
276,27.0,,Biology
277,240.0,41.0,Biology
278,23.0,56.0,Computer Science
279,19.0,,nan
280,24.0,92.0,nan
281,20.0,45.0,Chemistry
282,29.0,65.0,Mathematics
283,22.0,78.0,Mathematics
284,24.0,49.0,Biology
285,21.0,42.0,Mathematics
286,22.0,54.0,Computer Science
287,23.0,84.0,Chemistry
288,20.0,70.0,Biology
289,27.0,68.0,nan
290,19.0,82.0,Biology
291,21.0,57.0,Computer Science
292,20.0,84.0,Computer Science
293,,70.0,Biology
294,18.0,92.0,Computer Science
295,19.0,45.0,nan
296,25.0,44.0,Chemistry
297,,72.0,Chemistry
298,21.0,49.0,Chemistry
299,26.0,98.0,Mathematics
300,22.0,88.0,Physics
301,18.0,74.0,Physics
302,21.0,71.0,Mathematics
303,21.0,,Computer Science
304,29.0,77.0,Computer Science
305,18.0,56.0,Biology
306,22.0,74.0,Biology
307,28.0,58.0,Mathematics
308,23.0,82.0,Chemistry
309,28.0,82.0,Physics
310,24.0,50.0,Chemistry
311,25.0,42.0,Mathematics
312,27.0,48.0,Mathematics
313,25.0,93.0,nan
314,19.0,89.0,Computer Science
315,28.0,97.0,nan
316,22.0,98.0,Chemistry
317,,61.0,Physics
318,20.0,,Mathematics
319,18.0,94.0,Computer Science
320,19.0,96.0,Computer Science
321,29.0,44.0,Chemistry
322,25.0,50.0,Chemistry
323,28.0,94.0,Mathematics
324,23.0,78.0,Mathematics
325,26.0,87.0,Computer Science
326,25.0,65.0,Mathematics
