,Symbol,Name,Price (Intraday),Change,% Change,Volume,Market Cap,PE Ratio (TTM),,,
0,KNPAX,Kinetics Paradigm Adv A,109.82+4.74(+4.51%),+4.74,+4.51%,115.57,126.79,-12.32%,-17.27%,-17.45%,105.08156.15
1,KNPCX,Kinetics Paradigm Adv C,97.07+4.18(+4.50%),+4.18,+4.50%,102.21,112.30,-12.43%,-17.65%,-18.16%,92.89138.44
2,QSTFX,Quantified STF Investor,17.21+0.54(+3.24%),+0.54,+3.24%,17.70,15.74,-0.23%,-2.74%,-14.07%,13.0019.40
3,QSTAX,Quantified STF Advisor,16.20+0.50(+3.18%),+0.50,+3.18%,16.67,14.85,-0.36%,-3.31%,-14.30%,12.2818.32
4,UOPSX,ProFunds UltraNASDAQ-100 Fund,96.34+2.79(+2.98%),+2.79,+2.98%,98.73,84.10,+4.83%,+27.65%,+17.26%,50.18106.33
5,UOPIX,ProFunds UltraNASDAQ-100 Fund,142.28+4.12(+2.98%),+4.12,+2.98%,145.67,123.31,+5.08%,+28.86%,+19.19%,73.14156.84
6,RYVLX,Rydex NASDAQ-100 2x Strategy A,654.44+18.83(+2.96%),+18.83,+2.96%,717.21,599.54,+4.89%,+28.72%,+12.18%,351.96774.61
7,RYVYX,Rydex NASDAQ-100 2x Strategy H,654.19+18.82(+2.96%),+18.82,+2.96%,716.96,599.34,+4.89%,+28.72%,+12.17%,351.85774.34
8,RYCCX,Rydex NASDAQ-100 2x Strategy C,442.54+12.73(+2.96%),+12.73,+2.96%,500.54,419.57,+4.66%,+27.76%,+7.85%,247.01541.37
9,FELIX,Fidelity Advisor Semiconductors I,124.68+3.27(+2.69%),+3.27,+2.69%,127.14,102.16,+8.34%,+40.77%,+27.84%,62.03135.80
10,FELTX,Fidelity Advisor Semiconductors M,105.65+2.77(+2.69%),+2.77,+2.69%,107.80,86.72,+8.21%,+40.09%,+25.94%,52.75115.09
11,FIKGX,Fidelity Advisor Semiconductors Z,125.21+3.28(+2.69%),+3.28,+2.69%,127.67,102.55,+8.38%,+40.93%,+28.02%,62.25136.38
12,FELAX,Fidelity Advisor Semiconductors A,114.20+2.99(+2.69%),+2.99,+2.69%,116.49,93.66,+8.28%,+40.42%,+26.87%,56.92124.40
13,FELCX,Fidelity Advisor Semiconductors C,88.66+2.32(+2.69%),+2.32,+2.69%,90.51,72.90,+8.08%,+39.41%,+23.77%,44.4296.59
14,ATVPX,Alger 35 Z,19.11+0.50(+2.69%),+0.50,+2.69%,23.68,20.33,-1.15%,+30.29%,+3.39%,13.7824.86
15,DXQLX,Direxion Monthly NASDAQ-100 Bull 1.75X Fund,103.02+2.66(+2.65%),+2.66,+2.65%,117.00,100.20,+4.87%,+28.99%,+6.53%,61.71126.36
16,FSELX,Fidelity Select Semiconductors,43.50+1.12(+2.64%),+1.12,+2.64%,44.49,36.23,+7.57%,+38.62%,+26.43%,22.8847.41
17,KMKAX,Kinetics Market Opportunities Adv A,72.76+1.79(+2.52%),+1.79,+2.52%,76.38,79.28,-9.53%,-5.42%,-5.60%,70.9789.28
18,ZVGIX,Zevenbergen Genea Institutional,58.27+1.40(+2.46%),+1.40,+2.46%,61.18,55.43,-5.17%,+15.55%,+8.76%,38.2166.60
19,ZVGNX,Zevenbergen Genea Investor,56.64+1.36(+2.46%),+1.36,+2.46%,59.48,53.95,-5.26%,+15.20%,+8.41%,37.2264.76
20,MGLBX,Marsico Global,31.95+0.71(+2.27%),+0.71,+2.27%,31.99,29.87,-1.05%,+25.02%,+20.15%,22.5033.22
21,ALCFX,Alger Focus Equity C,88.55+1.94(+2.24%),+1.94,+2.24%,98.03,83.52,+0.38%,+37.25%,+20.74%,56.19102.94
22,ALAFX,Alger Focus Equity A,100.58+2.20(+2.24%),+2.20,+2.24%,110.15,93.65,+0.58%,+38.28%,+22.93%,62.83115.61
23,ALZFX,Alger Focus Equity Z,105.64+2.31(+2.24%),+2.31,+2.24%,115.24,97.89,+0.66%,+38.67%,+23.76%,65.61120.92
24,ALGRX,Alger Focus Equity I,101.54+2.22(+2.24%),+2.22,+2.24%,111.11,94.46,+0.59%,+38.30%,+23.06%,63.37116.61
