student_id,age,marks,department
101,18,92,AIML
102,21,56,CSE
103,22,65,CSE
104,20,46,AIML
105,18,80,AIML
106,19,72,AR
107,21,82,AR
108,19,88,AIML
109,23,51,CSE
110,20,41,automation
111,23,70,automation
112,22,77,CSE
113,18,73,CSE
114,21,50,AIML
115,21,70,AIML
116,20,49,AR
117,18,57,CSE
118,22,68,CSE
119,23,52,AIML
120,19,96,CSE
121,21,77,automation
122,22,82,AR
123,18,46,ME
124,21,98,CSE
125,22,81,AR
126,22,83,automation
127,19,69,ME
128,23,65,AR
129,20,66,ME
130,20,76,automation
131,19,48,AIML
132,22,40,automation
133,23,95,automation
134,21,80,CSE
135,23,73,AR
136,23,65,automation
137,20,49,CSE
138,20,48,ME
139,20,71,automation
140,22,97,AR
141,21,85,CSE
142,19,99,AIML
143,22,66,AIML
144,22,72,ME
145,20,45,automation
146,21,66,CSE
147,22,60,automation
148,23,78,AIML
149,22,72,automation
150,23,43,ME
151,23,40,AR
152,22,90,CSE
153,20,82,AIML
154,23,83,ME
155,22,86,AR
156,21,46,ME
157,23,81,CSE
158,23,52,CSE
159,18,57,CSE
160,22,92,ME
161,20,57,CSE
162,20,71,ME
163,19,87,automation
164,22,46,ME
165,19,49,AR
166,19,45,AIML
167,23,41,ME
168,23,77,ME
169,20,48,automation
170,22,61,AR
171,22,96,CSE
172,23,42,ME
173,22,73,automation
174,21,53,AIML
175,18,92,ME
176,21,52,AIML
177,23,93,ME
178,23,61,AIML
179,20,54,CSE
180,23,78,AIML
181,23,50,AIML
182,20,96,AR
183,23,48,AIML
184,18,99,automation
185,20,52,ME
186,23,95,AIML
187,23,67,AIML
188,20,57,AR
189,20,79,AIML
190,18,51,AR
191,19,52,ME
192,20,60,ME
193,20,82,automation
194,18,76,AR
195,20,56,ME
196,23,52,ME
197,20,74,automation
198,18,79,AR
199,18,50,automation
200,20,95,AR
201,19,89,AIML
202,22,50,automation
203,23,86,CSE
204,18,94,AR
205,22,58,CSE
206,19,61,ME
207,23,94,AR
208,19,70,ME
209,19,71,AR
210,20,74,ME
211,20,82,ME
212,19,75,automation
213,19,52,AR
214,20,90,AIML
215,19,66,AR
216,18,47,ME
217,19,92,AIML
218,19,58,ME
219,21,46,AIML
220,21,45,automation
221,20,52,automation
222,20,94,automation
223,19,42,CSE
224,21,59,AR
225,18,58,automation
226,19,57,automation
227,19,94,AIML
228,23,54,AIML
229,20,61,AR
230,18,78,ME
231,20,50,AR
232,20,49,ME
233,22,77,AIML
234,22,49,ME
235,18,77,ME
236,22,88,CSE
237,19,70,CSE
238,23,66,CSE
239,22,91,AIML
240,23,63,CSE
241,21,61,AIML
242,21,77,ME
243,18,67,AR
244,23,93,AIML
245,20,41,CSE
246,21,51,CSE
247,18,49,AIML
248,21,72,AIML
249,20,84,ME
250,21,88,automation
251,19,51,AR
252,20,91,ME
253,18,88,ME
254,20,92,AIML
255,20,92,CSE
256,19,58,automation
257,19,54,CSE
258,19,84,AR
259,22,89,AR
260,22,90,CSE
261,22,95,AIML
262,20,41,automation
263,18,56,AR
264,18,45,ME
265,18,92,ME
266,18,45,ME
267,23,65,automation
268,20,78,automation
269,22,49,AIML
270,21,42,AR
271,22,54,CSE
272,23,84,CSE
273,21,70,ME
274,18,68,CSE
275,23,82,automation
276,19,57,AR
277,19,84,ME
278,18,70,AR
279,20,92,ME
280,18,45,automation
281,20,44,automation
282,23,72,ME
283,20,49,automation
284,19,98,automation
285,23,88,AR
286,23,74,AR
287,19,71,AR
288,20,66,CSE
289,21,77,AIML
290,22,56,AIML
291,21,74,CSE
292,22,58,automation
293,23,82,automation
294,20,82,ME
295,19,50,ME
296,19,42,CSE
297,22,48,AR
298,21,93,AIML
299,20,89,AR
300,21,97,CSE
301,18,98,CSE
302,19,61,ME
303,21,78,automation
304,18,94,ME
305,22,96,AR
306,18,44,AIML
307,21,50,CSE
308,21,94,automation
309,21,78,automation
310,22,87,AR
311,18,65,AR
312,22,58,CSE
313,20,48,CSE
314,23,65,automation
315,20,48,CSE
316,19,91,CSE
317,23,89,CSE
318,22,57,automation
319,19,43,AR
320,23,52,ME
321,20,89,AR
322,22,47,AIML
323,20,76,ME
324,18,68,CSE
325,23,60,automation
326,22,79,ME
327,19,80,ME
328,21,54,AR
329,20,86,automation
330,23,84,CSE
331,23,47,AIML
332,18,98,CSE
333,19,74,automation
334,21,82,AIML
335,22,99,AIML
336,18,56,AIML
337,19,51,automation
338,20,60,AR
339,23,93,AIML
340,19,95,CSE
341,21,66,automation
342,18,98,automation
343,23,61,AR
344,21,99,automation
345,19,44,automation
346,19,47,AR
347,20,51,automation
348,18,58,CSE
349,18,50,AR
350,22,97,ME
351,19,93,AR
352,19,78,automation
353,22,66,CSE
354,18,92,CSE
355,22,50,ME
356,20,43,AIML
357,19,45,automation
358,22,99,CSE
359,18,67,ME
360,18,87,ME
361,22,93,ME
362,23,94,ME
363,23,99,AIML
364,20,64,ME
365,21,73,automation
366,18,82,AR
367,20,81,automation
368,20,68,CSE
369,21,86,ME
370,23,57,ME
371,20,47,AIML
372,21,93,automation
373,21,54,automation
374,18,50,AIML
375,20,44,ME
376,21,79,AIML
377,21,49,ME
378,18,72,ME
379,19,73,AIML
380,21,45,CSE
381,18,46,ME
382,18,65,ME
383,20,90,automation
384,18,72,automation
385,19,70,AR
386,20,95,ME
387,19,59,AR
388,20,80,ME
389,23,83,ME
390,19,72,AR
391,23,56,AIML
392,19,44,automation
393,22,73,CSE
394,22,57,AIML
395,22,61,ME
396,18,93,AR
397,20,54,CSE
398,23,55,CSE
399,20,59,automation
400,23,91,AR
401,21,77,AR
402,22,58,CSE
403,18,49,ME
404,21,40,CSE
405,20,77,automation
406,20,50,ME
407,19,46,automation
408,23,40,AIML
409,18,79,AR
410,23,43,automation
411,19,46,AR
412,19,89,AIML
413,22,43,ME
414,19,67,CSE
415,23,93,AIML
416,22,77,automation
417,23,76,AR
418,18,79,automation
419,18,76,ME
420,22,91,automation
421,19,46,ME
422,21,69,AR
423,20,90,AIML
424,23,58,AR
425,20,46,AR
426,21,77,AR
427,19,56,AR
428,19,82,AR
429,23,61,ME
430,19,66,ME
431,18,66,automation
432,23,49,AIML
433,18,70,AIML
434,19,43,automation
435,23,43,AIML
436,21,91,AIML
437,22,61,AR
438,19,42,AIML
439,18,96,automation
440,18,76,AIML
441,18,96,AR
442,20,92,automation
443,21,75,CSE
444,18,64,ME
445,18,78,automation
446,18,83,CSE
447,18,85,ME
448,22,58,automation
449,19,95,ME
450,19,46,CSE
451,21,74,AR
452,20,40,automation
453,20,54,CSE
454,21,41,CSE
455,18,58,AIML
456,20,65,CSE
457,22,42,CSE
458,23,75,ME
459,18,43,ME
460,21,54,automation
461,19,86,AR
462,21,88,ME
463,18,56,AR
464,20,40,AIML
465,22,85,automation
466,19,82,automation
467,21,90,CSE
468,21,56,automation
469,21,97,ME
470,23,77,ME
471,19,83,ME
472,18,91,CSE
473,23,41,automation
474,20,89,automation
475,22,79,AR
476,18,45,AR
477,21,58,automation
478,19,45,CSE
479,20,42,CSE
480,18,53,CSE
481,21,45,AR
482,23,65,AIML
483,19,80,AR
484,23,80,AIML
485,23,71,ME
486,22,41,automation
487,19,70,AIML
488,23,88,automation
489,22,89,CSE
490,18,98,automation
491,20,93,AIML
492,22,84,CSE
493,22,72,CSE
494,22,59,CSE
495,22,96,AR
496,18,51,automation
497,23,96,AR
498,21,78,ME
499,23,82,automation
500,21,46,AIML
501,18,68,CSE
502,18,63,automation
503,19,71,CSE
504,19,45,AIML
505,18,40,AIML
506,23,55,AR
507,21,75,AR
508,20,47,CSE
509,20,67,AIML
510,23,73,automation
511,21,94,CSE
512,21,49,ME
513,23,80,AIML
514,20,48,AIML
515,19,82,automation
516,21,65,AR
517,22,83,CSE
518,23,86,ME
519,20,88,ME
520,23,57,CSE
521,21,56,AIML
522,23,96,ME
523,21,54,automation
524,18,77,AR
525,19,89,automation
526,19,95,ME
527,20,42,ME
528,19,94,CSE
529,18,75,ME
530,18,93,AIML
531,19,55,ME
532,23,68,AR
533,21,82,ME
534,22,85,ME
535,21,43,AR
536,18,65,AIML
537,18,40,CSE
538,22,82,AIML
539,20,85,AR
540,22,75,AR
541,19,40,CSE
542,23,47,AR
543,19,47,ME
544,23,82,AR
545,21,86,ME
546,19,67,AR
547,19,78,automation
548,21,70,ME
549,23,90,AIML
550,18,80,CSE
551,19,89,AR
552,23,82,ME
553,20,93,automation
554,23,87,CSE
555,23,78,AR
556,18,75,AIML
557,23,67,ME
558,23,76,ME
559,21,85,AR
560,18,73,AR
561,20,45,ME
562,21,99,CSE
563,20,52,AR
564,22,78,automation
565,22,64,ME
566,19,60,ME
567,22,43,AIML
568,19,50,AR
569,19,84,AIML
570,18,82,CSE
571,21,60,ME
572,23,74,AIML
573,18,57,AR
574,22,53,automation
575,19,53,ME
576,21,97,CSE
577,23,43,automation
578,19,91,CSE
579,20,57,ME
580,21,99,AIML
581,22,91,CSE
582,19,40,AR
583,19,65,ME
584,20,49,AR
585,18,77,ME
586,22,47,AR
587,20,50,AR
588,22,93,CSE
589,20,43,AIML
590,22,74,ME
591,22,71,ME
592,19,73,AR
593,21,40,ME
594,21,52,AR
595,20,89,AR
596,18,89,AR
597,22,40,AIML
598,20,96,AR
599,21,68,AIML
600,20,66,AR
601,21,40,AIML
602,19,72,ME
603,20,90,automation
604,20,64,CSE
605,21,67,AIML
606,22,90,AIML
607,21,49,automation
608,18,86,AR
609,22,66,automation
610,19,73,CSE
611,22,72,AIML
612,21,77,automation
613,21,59,ME
614,21,71,AIML
615,23,77,ME
616,23,71,automation
617,20,57,automation
618,19,97,AIML
619,22,75,automation
620,20,60,CSE
621,20,45,AR
622,18,61,CSE
623,21,83,ME
624,18,56,automation
625,23,64,ME
626,18,45,AR
627,22,90,AIML
628,20,41,CSE
629,18,43,ME
630,20,91,ME
631,23,91,AR
632,18,54,AIML
633,18,51,AIML
634,19,66,AR
635,23,60,CSE
636,23,61,ME
637,23,69,AR
638,23,70,AIML
639,19,61,AR
640,19,84,automation
641,19,93,AIML
642,19,63,automation
643,19,72,ME
644,20,82,CSE
645,18,61,automation
646,23,64,AIML
647,18,84,AIML
648,21,65,ME
649,21,60,CSE
650,23,72,AIML
651,21,82,AR
652,19,74,automation
653,21,78,AR
654,21,66,ME
655,19,51,automation
656,21,64,AIML
657,20,62,AIML
658,23,54,CSE
659,19,71,AIML
660,20,64,AIML
661,18,42,AIML
662,20,88,AR
663,22,66,AR
664,18,89,ME
665,23,90,CSE
666,18,66,CSE
667,23,98,automation
668,22,60,CSE
669,23,75,AIML
670,21,58,AIML
671,18,73,AR
672,22,76,ME
673,18,90,automation
674,21,91,ME
675,19,81,AIML
676,22,90,ME
677,18,97,ME
678,22,70,AIML
679,23,43,AR
680,20,65,ME
681,19,92,ME
682,23,52,CSE
683,18,97,CSE
684,21,47,AR
685,21,59,AR
686,21,89,automation
687,22,49,AIML
688,20,61,automation
689,18,86,AR
690,21,61,automation
691,19,85,AR
692,22,52,CSE
693,23,52,AR
694,22,91,ME
695,20,87,CSE
696,19,61,CSE
697,23,71,ME
698,19,81,AIML
699,21,90,AIML
700,22,59,AIML
701,23,74,AIML
702,21,60,AIML
703,19,87,automation
704,18,97,ME
705,20,98,ME
706,18,47,AIML
707,20,45,CSE
708,22,90,CSE
709,22,98,CSE
710,23,97,CSE
711,19,66,CSE
712,18,62,automation
713,19,58,AIML
714,20,80,CSE
715,18,62,AIML
716,22,66,automation
717,23,60,automation
718,20,96,AIML
719,21,89,ME
720,19,40,AR
721,23,91,ME
722,22,82,AR
723,19,84,AR
724,22,53,AIML
725,23,86,ME
726,21,56,automation
727,22,59,CSE
728,20,65,automation
729,23,66,AIML
730,18,97,AIML
731,22,78,ME
732,22,71,ME
733,22,55,CSE
734,22,41,AR
735,22,67,ME
736,21,90,AR
737,19,50,AR
738,19,87,CSE
739,23,52,ME
740,22,81,automation
741,20,54,CSE
742,20,60,AIML
743,20,64,CSE
744,19,44,ME
745,22,67,ME
746,22,72,AR
747,20,71,automation
748,22,88,CSE
749,21,82,AIML
750,21,92,automation
751,20,70,AR
752,21,91,CSE
753,20,93,ME
754,20,71,CSE
755,20,98,automation
756,23,58,AIML
757,18,97,AR
758,18,49,automation
759,18,66,CSE
760,20,43,automation
761,21,71,CSE
762,18,61,CSE
763,21,47,AR
764,23,44,automation
765,23,69,AIML
766,20,74,CSE
767,21,47,automation
768,19,66,CSE
769,19,46,AR
770,19,66,CSE
771,21,61,ME
772,18,68,AIML
773,22,55,AIML
774,19,80,automation
775,18,69,AIML
776,19,44,AR
777,18,72,automation
778,23,69,CSE
779,19,82,CSE
780,18,79,ME
781,19,49,automation
782,20,92,AR
783,21,97,CSE
784,20,85,automation
785,19,89,ME
786,23,54,AR
787,20,70,AR
788,21,73,ME
789,19,92,ME
790,20,49,AR
791,21,93,AR
792,19,47,ME
793,19,41,AR
794,19,78,AIML
795,21,75,AR
796,23,60,ME
797,18,41,ME
798,20,55,AIML
799,22,87,ME
800,22,52,CSE
801,21,61,automation
802,22,88,AIML
803,21,63,AR
804,23,81,ME
805,18,64,AR
806,19,89,automation
807,23,49,ME
808,18,43,AR
809,19,76,CSE
810,23,48,AR
811,19,74,ME
812,20,48,AIML
813,19,79,automation
814,19,88,automation
815,20,54,AIML
816,22,55,ME
817,22,64,ME
818,19,67,AIML
819,19,63,AIML
820,18,86,automation
821,18,64,AR
822,19,51,automation
823,23,49,AIML
824,18,95,AIML
825,18,56,automation
826,18,97,automation
827,23,51,automation
828,21,79,automation
829,18,56,ME
830,18,98,CSE
831,19,81,automation
832,19,96,AIML
833,19,81,ME
834,23,95,AR
835,23,86,ME
836,22,58,AR
837,23,40,CSE
838,20,81,AR
839,19,97,AR
840,23,46,automation
841,18,56,AIML
842,21,68,ME
843,18,50,AR
844,22,47,AIML
845,21,83,automation
846,20,96,AR
847,22,48,automation
848,23,71,ME
849,21,88,automation
850,19,62,AR
851,19,75,automation
852,18,62,CSE
853,20,95,AR
854,21,81,automation
855,19,42,AIML
856,19,67,ME
857,22,41,CSE
858,19,52,ME
859,23,96,ME
860,23,41,CSE
861,18,91,CSE
862,22,53,AR
863,20,75,AIML
864,23,73,CSE
865,23,79,CSE
866,19,58,CSE
867,21,65,AIML
868,22,78,CSE
869,23,66,automation
870,19,70,automation
871,22,65,automation
872,20,88,AIML
873,20,89,AIML
874,18,40,AIML
875,20,61,CSE
876,22,92,ME
877,22,83,ME
878,19,90,AR
879,21,82,AR
880,18,51,AIML
881,21,81,ME
882,22,76,ME
883,23,68,automation
884,19,45,AIML
885,22,48,AR
886,19,82,ME
887,22,63,automation
888,23,62,CSE
889,18,65,CSE
890,19,88,automation
891,20,65,AR
892,22,66,automation
893,19,78,AR
894,19,45,AIML
895,19,97,AR
896,23,73,AIML
897,23,73,ME
898,23,82,automation
899,19,77,AIML
900,19,94,ME
901,18,76,automation
902,20,56,automation
903,23,67,AR
904,23,79,ME
905,19,45,automation
906,21,86,automation
907,18,58,automation
908,18,67,AR
909,22,95,automation
910,21,55,AR
911,18,95,automation
912,23,66,ME
913,21,70,CSE
914,19,61,AR
915,20,63,AIML
916,21,99,automation
917,20,40,AIML
918,22,91,ME
919,21,91,ME
920,21,55,AIML
921,18,91,automation
922,18,65,CSE
923,18,88,AIML
924,20,92,AR
925,22,61,AIML
926,21,66,AIML
927,23,92,CSE
928,18,40,AIML
929,19,85,AIML
930,19,92,automation
931,19,91,CSE
932,23,88,ME
933,22,69,automation
934,21,52,ME
935,19,54,CSE
936,23,92,CSE
937,19,98,AR
938,21,89,AIML
939,23,45,AR
940,21,45,AR
941,21,92,AR
942,21,84,CSE
943,21,98,ME
944,19,76,CSE
945,21,65,CSE
946,20,48,AIML
947,19,98,AR
948,19,79,automation
949,20,77,automation
950,23,41,CSE
951,20,95,AR
952,21,79,AIML
953,23,97,automation
954,22,66,AR
955,20,70,AIML
956,19,62,AR
957,20,79,AIML
958,22,72,AR
959,21,77,CSE
960,23,68,CSE
961,18,94,CSE
962,20,61,AIML
963,21,57,CSE
964,19,40,AIML
965,22,70,ME
966,20,82,automation
967,19,86,AR
968,19,48,AIML
969,23,43,AR
970,21,95,CSE
971,20,73,ME
972,18,74,CSE
973,21,60,ME
974,21,45,AIML
975,18,46,CSE
976,20,71,CSE
977,21,97,AIML
978,21,41,AIML
979,18,72,ME
980,23,82,AR
981,21,98,CSE
982,23,41,AIML
983,23,78,ME
984,22,47,CSE
985,18,69,AIML
986,22,56,AR
987,19,40,automation
988,20,67,ME
989,19,94,AR
990,22,99,AIML
991,20,68,AIML
992,23,74,automation
993,21,51,AR
994,22,68,AIML
995,21,63,AR
996,18,83,CSE
997,19,67,ME
998,19,74,AR
999,19,50,AR
1000,21,53,ME
1001,19,81,AR
1002,23,48,AR
1003,19,48,automation
1004,21,94,CSE
1005,21,41,CSE
1006,18,47,ME
1007,18,84,CSE
1008,19,74,AR
1009,23,64,automation
1010,20,99,ME
1011,19,93,ME
1012,20,55,ME
1013,20,72,AIML
1014,21,94,AR
1015,18,89,ME
1016,19,84,automation
1017,19,58,automation
1018,19,85,AIML
1019,23,90,automation
1020,21,79,AIML
1021,21,51,CSE
1022,20,72,automation
1023,23,77,AIML
1024,23,49,CSE
1025,21,91,ME
1026,20,84,AR
1027,23,68,CSE
1028,23,49,AR
1029,21,99,CSE
1030,18,73,AR
1031,23,63,AIML
1032,20,45,CSE
1033,18,70,ME
1034,20,43,CSE
1035,19,74,CSE
1036,22,48,automation
1037,18,93,ME
1038,23,62,automation
1039,21,75,automation
1040,23,70,CSE
1041,20,56,AIML
1042,22,55,AIML
1043,21,85,automation
1044,23,62,automation
1045,23,82,AIML
1046,21,53,AIML
1047,18,67,automation
1048,21,94,automation
1049,20,44,automation
1050,21,62,automation
1051,21,70,AR
1052,22,84,automation
1053,21,60,AR
1054,19,92,ME
1055,20,89,AR
1056,19,82,AR
1057,20,87,automation
1058,22,41,automation
1059,19,48,AIML
1060,22,49,AIML
1061,19,89,ME
1062,22,48,CSE
1063,21,76,CSE
1064,23,61,automation
1065,20,76,ME
1066,22,42,CSE
1067,19,75,AIML
1068,19,61,AIML
1069,23,97,AIML
1070,19,62,AIML
1071,23,70,AIML
1072,22,84,ME
1073,22,78,automation
1074,22,46,automation
1075,19,89,AIML
1076,18,79,AIML
1077,18,77,AIML
1078,19,75,automation
1079,21,96,ME
1080,20,43,automation
1081,22,76,ME
1082,20,42,AR
1083,21,79,AIML
1084,23,52,CSE
1085,23,60,AIML
1086,18,92,AIML
1087,23,58,AR
1088,18,93,AR
1089,19,74,AR
1090,18,77,automation
1091,21,94,automation
1092,21,75,ME
1093,21,87,automation
1094,22,59,automation
1095,19,51,automation
1096,21,48,AIML
1097,21,76,CSE
1098,20,42,AIML
1099,21,62,AR
1100,23,54,ME
