Student_ID,Age,Marks,Department
101,18.0,66.0,CSE
102,21.0,75.0,CSE
103,22.0,56.0,ME
104,20.0,90.0,ME
105,18.0,82.0,ME
106,19.0,92.0,nan
107,21.0,98.0,ME
108,19.0,61.0,AIML
109,23.0,51.0,CSE
110,20.0,80.0,ECE
111,23.0,87.0,AIML
112,22.0,83.0,ME
113,18.0,60.0,ME
114,21.0,,AIML
115,21.0,59.0,
116,20.0,67.0,
117,,78.0,AR
118,22.0,62.0,ECE
119,23.0,87.0,CSE
120,19.0,92.0,CSE
121,21.0,56.0,AIML
122,22.0,91.0,ME
123,18.0,93.0,AR
124,21.0,79.0,ME
125,22.0,75.0,ECE
126,22.0,76.0,ECE
127,19.0,86.0,ME
128,23.0,58.0,AIML
129,20.0,50.0,AR
130,20.0,90.0,ECE
131,19.0,83.0,CSE
132,22.0,75.0,CSE
133,23.0,59.0,CSE
134,21.0,58.0,AR
135,23.0,81.0,AR
136,23.0,95.0,AIML
137,20.0,76.0,ECE
138,20.0,82.0,ME
139,20.0,55.0,
140,22.0,76.0,CSE
141,21.0,70.0,ME
142,19.0,88.0,AR
143,22.0,82.0,ECE
144,22.0,53.0,CSE
145,20.0,50.0,ECE
146,21.0,92.0,CSE
147,22.0,93.0,AR
148,23.0,96.0,AR
149,22.0,56.0,CSE
150,23.0,91.0,AR
151,23.0,62.0,AR
152,22.0,67.0,ECE
153,20.0,67.0,ECE
154,23.0,,ECE
155,22.0,97.0,ME
156,21.0,56.0,AIML
157,23.0,59.0,AIML
158,23.0,55.0,ME
159,18.0,51.0,AR
160,22.0,87.0,AR
161,20.0,,
162,20.0,71.0,CSE
163,19.0,52.0,ME
164,22.0,83.0,ECE
165,240.0,63.0,AIML
166,,62.0,ECE
167,23.0,71.0,ME
168,23.0,64.0,ME
169,20.0,88.0,CSE
170,22.0,60.0,AR
171,22.0,58.0,CSE
172,23.0,62.0,ECE
173,22.0,77.0,AIML
174,21.0,67.0,ME
175,18.0,89.0,AR
176,21.0,61.0,AR
177,,62.0,ECE
178,23.0,70.0,ECE
179,20.0,92.0,ME
180,23.0,86.0,ME
181,23.0,66.0,AR
182,20.0,62.0,ME
183,23.0,84.0,ME
184,18.0,,
185,20.0,60.0,
186,23.0,99.0,
187,23.0,60.0,CSE
188,20.0,96.0,ECE
189,20.0,68.0,AIML
190,18.0,71.0,CSE
191,19.0,80.0,
192,,81.0,AR
193,20.0,84.0,CSE
194,18.0,92.0,CSE
195,20.0,85.0,
196,23.0,62.0,
197,20.0,76.0,
198,18.0,150.0,AIML
199,18.0,68.0,ME
200,20.0,56.0,AR
201,19.0,55.0,AIML
202,22.0,,
203,23.0,52.0,AIML
204,18.0,69.0,
205,22.0,68.0,ECE
206,19.0,67.0,
